"pop";"Tx";"nVNS";"nhVNS.1";"nhVNS.2";"nhVNS.3";"nhVNS.4";"nhVNS.5";"nhVNS.6";"NhVNS.1";"NhVNS.2";"NhVNS.3";"NhVNS.4";"NhVNS.5";"NhVNS.6";"VhVNS.1";"VhVNS.2";"VhVNS.3";"VhVNS.4";"VhVNS.5";"VhVNS.6";"cvVNS";"nSTRATMH";"nhSTRATMH.1";"nhSTRATMH.2";"nhSTRATMH.3";"nhSTRATMH.4";"nhSTRATMH.5";"nhSTRATMH.6";"NhSTRATMH.1";"NhSTRATMH.2";"NhSTRATMH.3";"NhSTRATMH.4";"NhSTRATMH.5";"NhSTRATMH.6";"VhSTRATMH.1";"VhSTRATMH.2";"VhSTRATMH.3";"VhSTRATMH.4";"VhSTRATMH.5";"VhSTRATMH.6";"cvSTRATMH";"nLH";"nhLH.1";"nhLH.2";"nhLH.3";"nhLH.4";"nhLH.5";"nhLH.6";"NhLH.1";"NhLH.2";"NhLH.3";"NhLH.4";"NhLH.5";"NhLH.6";"VhLH.1";"VhLH.2";"VhLH.3";"VhLH.4";"VhLH.5";"VhLH.6";"cvLH";"nKO";"nhKO.1";"nhKO.2";"nhKO.3";"nhKO.4";"nhKO.5";"nhKO.6";"NhKO.1";"NhKO.2";"NhKO.3";"NhKO.4";"NhKO.5";"NhKO.6";"VhKO.1";"VhKO.2";"VhKO.3";"VhKO.4";"VhKO.5";"VhKO.6";"cvKO";"nBarca";"nhBarca.1";"nhBarca.2";"nhBarca.3";"nhBarca.4";"nhBarca.5";"nhBarca.6";"NhBarca.1";"NhBarca.2";"NhBarca.3";"NhBarca.4";"NhBarca.5";"NhBarca.6";"VhBarca.1";"VhBarca.2";"VhBarca.3";"VhBarca.4";"VhBarca.5";"VhBarca.6";"cvBarca"
"AgrMinas.txt";1197026;12;2;2;2;2;2;2;381;162;167;102;25;7;13988,1495994103;15705,9285169944;128595,691706408;1054173,76432141;9737515,5104;98802040,8163265;0,09485;12;2;2;2;2;2;2;510;205;83;30;12;4;38810,9097308727;179797,624271267;499289,396138772;1506525,79555556;7057822,22222222;98581875;0,0911226116001257;17;2;2;2;2;4;5;210;202;169;153;91;19;2359,59963718821;7127,87089501029;31900,286194461;164870,627792729;1921516,04347301;83836979,0858726;0,086871821216495;14;2;2;2;2;2;4;354;221;155;68;30;16;11020,6695074851;35214,8440449622;153198,728657648;382934,969723183;1506525,79555556;83501273,4375;0,0786144456030557;12;2;2;2;2;2;2;449;213;110;49;17;6;23887,8107937057;112945,233776615;341719,137659655;1023884,06164098;8406554,69163442;80721527,7777778;0,0843076555397877
"anaemia_Haemoglobin.txt";8857,7;12;2;2;2;2;2;2;77;97;114;343;83;10;0,727694383538539;0,0782484854926135;0,0487719298245614;0,315493204362128;0,13646102482218;0,1916;0,01663;12;2;2;2;2;2;2;77;105;141;142;160;99;0,727694383538539;0,0883229024943311;0,0642945525878979;0,047661674270978;0,0781214843750001;0,380771349862259;0,00910083124206878;12;2;2;2;2;2;2;86;136;133;110;160;99;0,774526771227691;0,116240808823529;0,0467578721239188;0,0285694214876033;0,0781214843750001;0,380771349862259;0,00961245344609401;12;2;2;2;2;2;2;77;105;141;142;160;99;0,727694383538539;0,0883229024943311;0,0642945525878979;0,047661674270978;0,0781214843750001;0,380771349862259;0,00910083124206878;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Inf
"BeefFarms.txt";542350;12;2;2;2;2;2;2;121;104;123;45;26;11;765,408100539581;2038,15301405325;68956,9261682861;391954,14617284;3516675,13609467;17293532,7438017;0,09864;12;2;2;2;2;2;2;253;98;42;24;8;5;8285,57118530207;71170,4618908788;358952,723922902;1416464,10416667;2247618,359375;5300113,2;0,0681724167125508;13;2;2;2;2;2;3;209;100;52;32;24;13;3687,89844554841;13066,07;73425,3561390533;250903,125;1416464,10416667;18256426,3786982;0,0719977168240468;13;2;2;2;2;2;3;209;100;53;32;22;14;3687,89844554841;13066,07;79431,8298326807;313881,27734375;1073301,40702479;20295988,7806122;0,0755699676956872;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Inf
"beta103.txt";772267,136016;12;2;2;2;2;2;2;61;55;82;277;59;466;2323,26592728353;504,498377390603;157,667554575713;704,400582757888;27,6440090112794;1972,90820494373;0,02029;12;2;2;2;2;2;2;88;164;203;214;182;149;3002,8899983389;706,577286795303;333,041717390222;322,723238620403;277,621448201303;390,909001024833;0,00855928221348843;12;2;2;2;2;2;2;91;163;207;217;174;148;3103,81069247281;664,11694873262;349,912309614694;325,369698152887;249,755999858498;387,913204480481;0,00861132939706273;12;2;2;2;2;2;2;88;164;203;209;187;149;3002,8899983389;706,577286795303;333,041717390222;308,268089956211;294,005569748279;390,909001024833;0,00854808616786885;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Inf
"CensoCO.txt";103377;12;2;2;2;2;2;2;3580;2149;1148;2488;598;14;2,52990106426142;0,618505777466161;0,242105646541781;8,81060198276486;99,537077325757;43481,6785714286;0,07884;12;2;2;2;2;2;2;3580;2825;2184;1162;224;2;2,52990106426142;1,2252955125695;2,69892592145339;14,7072084749127;293,870455994898;126380,25;0,0647019498145046;13;2;2;2;2;3;2;1123;1562;2417;3487;1356;32;0,663622833191529;0,249132731436928;0,70727465037422;4,68602040155869;58,2035594016759;21429,0537109375;0,0849596352009183;12;2;2;2;2;2;2;3580;3297;2033;859;206;2;2,52990106426142;1,84690542748534;3,7011779809242;13,2084631532727;302,890093316995;126380,25;0,0649644211185022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Inf
"chi1.txt";939,601297267;12;2;2;2;2;2;2;159;171;280;201;130;59;0,0000815256652517671;0,00110699196872944;0,0265802702745305;0,0928761176903386;0,178765074361094;2,55545345087708;0,09923;12;2;2;2;2;2;2;415;213;151;119;79;23;0,00567092963987515;0,0199011274861788;0,0482727533198115;0,0748595569348191;0,271393682986151;3,13921268272352;0,0636875652023667;12;2;2;2;2;2;2;415;212;151;120;72;30;0,00567092963987515;0,0196282655772551;0,0477925137134936;0,0759936124171083;0,183085686109756;2,94892673655848;0,0647246751038091;12;2;2;2;2;2;2;415;213;151;119;79;23;0,00567092963987515;0,0199011274861788;0,0482727533198115;0,0748595569348191;0,271393682986151;3,13921268272352;0,0636875652023667;11;2;2;2;2;2;1;527;210;121;114;27;1;0,0202607183204558;0,0465596220086773;0,0617651776590857;0,332298013329385;1,0713375777038;0;0,0874222932161055
"chi5.txt";5051,940520634;12;2;2;2;2;2;2;31;443;199;266;6;55;0,0450747265202371;0,750090449217077;0,307611593475337;1,7134600757231;0,00487803896922383;8,8651177883301;0,07728;12;2;2;2;2;2;2;199;241;207;187;128;38;0,286775274775351;0,158653424590807;0,265569400786595;0,459565022581188;1,19418613233735;8,80964586415891;0,0393057280064583;12;2;2;2;2;2;2;178;229;201;181;137;74;0,244071961373734;0,146700700310763;0,199829976421945;0,361450697327561;0,606323309131101;8,44992065988594;0,0422717641542629;12;2;2;2;2;2;2;194;243;209;188;128;38;0,276673707988414;0,162168365736091;0,267485201263309;0,463757076584955;1,19418613233735;8,80964586415891;0,0393163576274146;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Inf
"Debtors.txt";2825374;12;2;2;2;2;2;2;1238;1448;390;152;106;35;1570,84965654124;35548,6860806294;150569,963767258;256457,853142313;1752209,3752225;26085899,7338776;0,0985;12;2;2;2;2;2;2;1618;951;425;240;109;26;4025,27603398724;17167,8121673904;75796,0611543253;425835,374930556;2495799,30275229;24644840,0828402;0,0824204685334185;12;2;2;2;2;2;2;1614;951;422;223;124;35;3981,73491552386;16993,4266702491;70812,3184564587;279369,19326751;1952403,5673127;26085899,7338776;0,0836367515618384;12;2;2;2;2;2;2;1603;1031;362;207;131;35;3864,61730714673;22307,0562043198;68877,3659839443;231078,359074891;2027362,49309481;26085899,7338776;0,0855159672123838;12;2;2;2;2;2;2;1643;1003;428;150;104;41;4307,12835484631;22472,6680783388;155547,614470217;234013,486311407;1365480,26471112;25461024,0385369;0,0877475575420193
"GAMMA2000.txt";7996,7492586906;12;2;2;2;2;2;2;74;290;987;67;386;196;0,020328981522009;0,0633355214193225;0,713898740398928;0,00758593914057956;0,679978574034607;3,80409314978131;0,08595;12;2;2;2;2;2;2;439;473;410;319;236;123;0,170388961055147;0,125771496987343;0,16955961011648;0,257223118755207;0,674338535369597;2,90928860886589;0,039109269513796;12;2;2;2;2;2;2;439;459;399;314;243;146;0,170388961055147;0,117927722841889;0,153519399229864;0,227506108060135;0,543292881859155;3,1981864841122;0,039848515303008;12;2;2;2;2;2;2;439;476;407;320;235;123;0,170388961055147;0,127491265807616;0,167532976869677;0,259508697114731;0,671438508739701;2,90928860886589;0,039101079844695;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Inf
"hies_income.txt";58274058,847893;12;2;2;2;2;2;2;47;1366;1066;8;929;150;262151,156979659;4447429,91946409;4569159,12043486;147,192566558848;50622462,6253716;412167407,399265;0,09874;12;2;2;2;2;2;2;1121;1030;673;447;223;72;3861080,1890404;2805020,91370342;4711823,05368414;12499714,116613;39527650,0651797;423466935,666774;0,0493039442620809;12;2;2;2;2;2;2;872;967;750;552;314;111;2987564,18823938;2032562,59125987;3486026,32435778;8569434,37401666;31163685,9721044;417816849,469903;0,0497777704440218;12;2;2;2;2;2;2;1085;964;678;454;292;93;3726089,68992235;2307854,40076326;3926651,54855382;8129661,56756385;36064607,9382276;419739824,179783;0,0494275546004344;11;2;2;2;2;1;2;891;1145;972;508;1;49;3049118,51910331;3058087,77073543;11275084,7156779;92098881,6557402;0;398941133,235424;0,0783011892364055
