"pop";"Tx";"nVNS";"nhVNS.1";"nhVNS.2";"nhVNS.3";"nhVNS.4";"nhVNS.5";"NhVNS.1";"NhVNS.2";"NhVNS.3";"NhVNS.4";"NhVNS.5";"VhVNS.1";"VhVNS.2";"VhVNS.3";"VhVNS.4";"VhVNS.5";"cvVNS";"nSTRATMH";"nhSTRATMH.1";"nhSTRATMH.2";"nhSTRATMH.3";"nhSTRATMH.4";"nhSTRATMH.5";"NhSTRATMH.1";"NhSTRATMH.2";"NhSTRATMH.3";"NhSTRATMH.4";"NhSTRATMH.5";"VhSTRATMH.1";"VhSTRATMH.2";"VhSTRATMH.3";"VhSTRATMH.4";"VhSTRATMH.5";"cvSTRATMH";"nLH";"nhLH.1";"nhLH.2";"nhLH.3";"nhLH.4";"nhLH.5";"NhLH.1";"NhLH.2";"NhLH.3";"NhLH.4";"NhLH.5";"VhLH.1";"VhLH.2";"VhLH.3";"VhLH.4";"VhLH.5";"cvLH";"nKO";"nhKO.1";"nhKO.2";"nhKO.3";"nhKO.4";"nhKO.5";"NhKO.1";"NhKO.2";"NhKO.3";"NhKO.4";"NhKO.5";"VhKO.1";"VhKO.2";"VhKO.3";"VhKO.4";"VhKO.5";"cvKO";"nBarca";"nhBarca.1";"nhBarca.2";"nhBarca.3";"nhBarca.4";"nhBarca.5";"NhBarca.1";"NhBarca.2";"NhBarca.3";"NhBarca.4";"NhBarca.5";"VhBarca.1";"VhBarca.2";"VhBarca.3";"VhBarca.4";"VhBarca.5";"cvBarca"
"AgrMinas.txt";1197026;37;6;5;7;6;13;452;204;120;52;16;24605,0319279114;102400,053825452;409931,789930556;2055857,52071006;83501273,4375;0,04999;37;9;8;5;3;12;510;205;83;30;16;38810,9097308727;179797,624271267;499289,396138772;1506525,79555556;83501273,4375;0,0494800589141632;41;2;5;7;11;16;286;271;175;92;20;5990,64684092132;32908,0179463787;187124,58762449;1798910,5022448;83776921,1875;0,0468215410575362;38;9;7;4;5;13;510;200;77;41;16;38810,9097308727;166098,959375;363070,686456401;1856988,95062463;83501273,4375;0,0486005377502194;37;3;4;8;10;12;350;232;171;75;16;10632,1545085947;41452,4370118989;288397,45213152;2318563,11595616;78282443,8476563;0,049643024707077
"anaemia_Haemoglobin.txt";8857,7;10;2;2;2;2;2;51;252;381;35;5;0,609419454056132;0,441505416981608;0,483706918524948;0,127297959183674;0,0599999999999999;0,02516;10;2;2;2;2;2;80;142;210;193;99;0,74234375;0,136425808371355;0,110993197278912;0,107974979194072;0,380771349862259;0,0112413539677339;10;2;2;2;2;2;86;187;159;168;124;0,774526771227691;0,195137407417999;0,0621526047229144;0,0734520266439908;0,421864594172737;0,0119285515945701;10;2;2;2;2;2;80;142;210;193;99;0,74234375;0,136425808371355;0,110993197278912;0,107974979194072;0,380771349862259;0,0112413539677339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Inf
"BeefFarms.txt";542350;25;5;3;4;3;10;272;82;39;22;15;12000,3767301038;75694,5514574658;327007,357001972;839037,407024793;22139850,8622222;0,0499;25;3;5;4;4;9;253;97;43;24;13;8285,57118530207;67413,6173876076;369520,731206057;1416464,10416667;18256426,3786982;0,0496598010453735;30;2;2;5;6;15;209;102;64;36;19;3687,89844554841;14731,9166666667;196113,460693359;1172517,37654321;27396891,5235457;0,0471124692904356;26;4;4;4;5;9;254;97;42;24;13;8456,29791059582;70841,7019874588;358952,723922902;1416464,10416667;18256426,3786982;0,0477937346648952;26;5;4;3;3;11;282;77;34;22;15;14372,868505908;95025,8434592899;267680,655302259;800899,343069121;20663860,8047408;0,0479547173184561
"beta103.txt";772267,136016;10;2;2;2;2;2;495;92;168;143;102;7286,49507597101;54,3185219969236;230,17131980135;171,00969754529;274,012373688667;0,03875;10;2;2;2;2;2;88;168;221;259;264;3002,8899983389;726,226319745381;411,488010347617;478,963244080421;787,004504318502;0,01118454224586;10;2;2;2;2;2;91;177;211;259;262;3103,81069247281;733,365711829537;373,664036813788;479,969061031671;778,730814834611;0,0111888912937208;10;2;2;2;2;2;88;168;221;259;264;3002,8899983389;726,226319745381;411,488010347617;478,963244080421;787,004504318502;0,01118454224586;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Inf
"CensoCO.txt";103377;26;7;6;7;3;3;4285;3489;1856;331;16;3,23740077255194;2,80693455688151;12,8423260882692;93,0562152590794;38790,90234375;0,04981;26;6;6;4;5;5;3580;3818;1967;591;21;2,52990106426142;2,78958208766009;7,42204999678219;74,0781090296924;30707,1337868481;0,0498160378617026;35;3;3;10;13;6;1858;2427;4074;1584;34;1,24757948927108;0,628705119866819;4,78383442157109;56,4330935618814;20332,3987889273;0,0479929667170181;27;8;6;5;4;4;4285;3489;1727;457;19;3,23740077255194;2,80693455688151;8,83248276881801;79,9621927804299;33466,5761772853;0,0482483575787612;27;6;8;7;3;3;3580;4194;1893;294;16;2,52919438798647;3,68607405624851;14,4697960536418;92,617318881368;36366,4709472654;0,0493484763798546
"chi1.txt";939,601297267;27;5;6;6;4;6;439;269;172;86;34;0,00760800844401584;0,0460089406933772;0,118652294388724;0,201505767933205;2,8598167007651;0,04999;27;4;6;6;5;6;438;274;171;84;33;0,0075013349350116;0,0486414700559879;0,118903917312128;0,199738156924703;2,87677069950333;0,0499558596383159;30;4;5;5;7;9;431;246;146;131;46;0,00685240760584147;0,0327202885172354;0,0679236295554896;0,231789671841279;2,68925602128765;0,0479441021821445;27;4;6;7;4;6;436;267;181;83;33;0,00730359896151245;0,0437330088806459;0,131337550426334;0,196416925381703;2,87677069950333;0,0498275977846925;28;4;6;7;3;8;427;274;184;70;45;0,00651097262179228;0,0444912954045022;0,135001343935507;0,110443746253798;2,6417525221199;0,0497953650979119
"chi5.txt";5051,940520634;12;2;2;2;2;4;222;223;242;207;106;0,339335699013464;0,135339871599991;0,429596900943167;0,795745833089768;8,44359317268566;0,05;11;2;2;2;2;3;223;310;222;170;75;0,341671368704792;0,30794593511826;0,494938387981525;0,802927479356938;8,43528071596916;0,049230458200738;12;2;3;2;2;3;223;310;222;170;75;0,341671368704792;0,30794593511826;0,494938387981525;0,802927479356938;8,43528071596916;0,0472269337800312;11;2;2;2;2;3;238;293;222;172;75;0,380073432236449;0,281269862727192;0,492953683370902;0,816499507463232;8,43528071596916;0,0492174264082535;12;2;4;2;2;2;235;383;187;145;50;0,370735030185973;0,567337848024685;0,408068977710483;1,08444892886558;8,7474037361142;0,0482984936549725
"Debtors.txt";2825374;44;7;12;8;8;9;1886;1009;298;138;38;7771,61176031685;61169,0516098424;315529,402999865;1909193,93173703;26154062,5630194;0,05;44;9;9;9;8;9;1905;954;335;134;41;8123,11704383409;48083,2331746722;352800,235918913;1687819,8511918;26097549,6395003;0,0497075690147233;47;8;10;10;9;10;1856;990;343;139;41;7238,02690452911;46152,6932313029;343135,394163996;1739602,82542311;26097549,6395003;0,0478924873356594;44;8;9;9;8;10;1905;942;341;138;43;8123,11704383409;44755,0153713696;338182,144993593;1629461,77882798;26073340,9226609;0,0496113622707301;46;12;11;7;7;9;2147;812;255;119;36;14265,8823574946;83028,9397410337;349775,900444685;1822352,21107326;25394493,2618527;0,0497163877170721
"GAMMA2000.txt";7996,7492586906;11;3;2;2;2;2;616;543;377;310;154;0,301534280876606;0,202657279830885;0,262536788143421;0,68564201291834;3,30272316625769;0,04965;11;3;2;2;2;2;499;577;457;318;149;0,21204898524135;0,203372024388172;0,344315740788063;0,73186781195294;3,23015597854765;0,0498913359547381;12;2;2;2;3;3;476;546;452;353;173;0,19538648475323;0,172938588840299;0,291851953121376;0,700931477853917;3,54479446566634;0,0469605742415584;11;2;2;2;2;3;502;563;443;316;176;0,214338911821296;0,192267812989668;0,310138969304594;0,601048842872232;3,57850483224236;0,0490250655019884;12;2;4;2;2;2;551;733;333;227;156;0,251920272211924;0,395092820455536;0,255766214510718;0,45346196098384;3,3089490563903;0,0494395329021721
"hies_income.txt";58274058,847893;20;2;3;2;4;9;643;1194;743;696;290;2247305,63773947;2901168,59519415;3377333,75342059;19661349,4031735;368687376,196487;0,04995;16;4;3;3;3;3;1284;1077;714;372;119;4553524,29172563;3884823,08207066;9266189,91629287;33462595,3629444;415769492,573691;0,049679044361463;17;4;3;3;3;4;1282;1072;718;375;119;4544461,8686407;3821745,16600459;9239535,39502122;33707886,2410847;415769492,573691;0,0482086426767422;17;4;3;3;3;4;1284;1077;714;372;119;4553524,29172563;3884823,08207066;9266189,91629287;33462595,3629444;415769492,573691;0,0482029574920864;17;3;5;2;3;4;1206;1301;542;362;155;4204396,45926783;6206896,09330253;5916839,47231924;24972360,7824459;408843961,391555;0,0499310321368472
"iso2004.txt";135501719204;22;3;3;5;3;8;271;124;68;16;8;498500460731862;1996281929810739;15302442718932312;153235107892856000;6167198421181041664;0,04994;22;3;3;4;4;8;260;131;71;17;8;425097944760511;1837888784433468;14065204967330654;159784235929118752;6167198421181041664;0,049668991020026;24;3;2;3;4;12;252;125;74;24;12;380449217119920;1172627740923929;7386832442937981;84712705236347024;5124739047350916096;0,0467184700491025;22;3;3;4;3;9;266;129;67;16;9;463313854355457;2050352887553962;13587487575319992;123889583208729504;5840941853313422336;0,0494187939916489;26;7;4;5;2;8;331;98;41;9;8;1179243298328176;4559693377955899;37089878788028760;86994283784195376;5396298618533404672;0,047973792058316
"Kozak1.txt";64445;10;2;2;2;2;2;1626;1231;705;241;197;4,23773580909241;1,96397426091869;2,73226900055329;1,74222206917925;34,1106444381458;0,04514;10;2;2;2;2;2;1041;1152;985;561;261;2,50088171703666;1,20480007595486;1,95394264217063;3,77826710006641;33,2688598229621;0,0340436773891391;11;2;2;2;2;3;785;531;877;1204;603;1,92243742139641;0,249679920272662;0,665454039569435;3,63920100219644;33,1198952721192;0,0425203051159899;10;2;2;2;2;2;1041;1152;985;561;261;2,50088171703666;1,20480007595486;1,95394264217063;3,77826710006641;33,2688598229621;0,0340436773891391;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Inf
"Kozak2.txt";11295808;15;3;4;2;2;4;1223;1466;670;452;189;111531,576524892;181866,878655621;141936,916215193;532950,468517503;9069771,41031886;0,04994;15;3;3;4;2;3;1342;1275;865;395;123;129516,485424473;139063,237521569;254919,67766915;816153,038782246;9792529,56428052;0,049429158147704;16;3;3;3;3;4;1215;1193;910;512;170;110375,07208183;108133,866839885;203591,955180534;677339,920898438;9240981,26536332;0,047294252089748;15;3;3;3;3;3;1292;1255;882;425;146;121710,494251359;128872,355000079;235727,551339205;710089,121129412;9508861,96176581;0,0488599355852127;15;3;3;3;2;4;1215;1353;831;400;201;110284,228401104;147219,402703608;206227,072084232;429318,670101891;8915503,61570527;0,0495679003179223
"Kozak3.txt";448235;22;4;3;5;3;7;709;579;439;196;77;601,217531595584;856,077228024019;3022,58510489257;7434,15667950854;158956,067127677;0,04997;22;4;4;4;4;6;692;564;427;244;73;573,128437301614;735,814958377345;2289,07931267105;9508,60937919914;158500,075436292;0,0497906879949017;24;4;4;5;5;6;686;570;424;247;73;563,791141446166;747,240569405971;2233,26468494126;9591,29964431477;158500,075436292;0,0472959882189773;22;4;3;4;5;6;718;543;419;247;73;616,905286659787;711,454012053627;2205,22813153263;9591,29964431477;158500,075436292;0,0493005580328645;22;3;3;4;6;6;617;591;442;274;76;462,50904192468;693,44219995448;2035,72495561366;9790,98899995449;156705,163437181;0,0496877141143473
"ME84.txt";505256;16;3;3;2;3;5;150;73;34;22;5;29757,0638222222;70793,7793206981;281823,207612457;1031134,20867769;295982805,44;0,04992;16;3;4;3;3;3;140;87;36;18;3;23293,36;101631,766415643;492432,777777778;1172083,25;103280422,222222;0,0497909624982886;1900;2;2;4;8;3;71;92;78;40;3;7713,69291807181;23104,2007325142;140524,67800789;2243590,41;103280422,222222;0,051470390373383;16;3;3;3;4;3;142;78;37;24;3;24298,4315116048;74015,8883957922;301820,514243974;1478066,87326389;103280422,222222;0,04880751487556;16;3;3;3;4;3;144;78;35;24;3;25229,7188146353;75228,0038963066;280132,538309038;1416480,75354455;68853614,8148146;0,0481562861627599
"mrts.txt";33765595,919363;28;4;3;6;8;7;624;598;539;208;31;4676936,27632101;3501007,82728229;12920012,7305818;139691072,652708;5997790661,39123;0,05;27;6;5;4;6;6;786;701;341;144;28;6474510,79562199;6505219,38173503;16087200,1658191;128970566,498415;6230002189,59464;0,0497801372139059;29;6;5;5;6;7;770;679;374;149;28;6283569,61985189;5851482,7746032;16343022,6421741;131559832,208926;6230002189,59464;0,0476923627145059;27;5;5;5;5;7;713;701;404;152;30;5639307,19402062;5843498,6472854;16406767,3300412;121178594,329307;6071453928,5371;0,049632016899764;28;5;6;7;3;7;722;750;404;96;28;5731014,98054914;7035101,42950682;33892026,0422598;99052142,2507724;6007502111,39483;0,0497652451985352
