"pop";"Tx";"nVNS";"nhVNS.1";"nhVNS.2";"nhVNS.3";"nhVNS.4";"nhVNS.5";"nhVNS.6";"NhVNS.1";"NhVNS.2";"NhVNS.3";"NhVNS.4";"NhVNS.5";"NhVNS.6";"VhVNS.1";"VhVNS.2";"VhVNS.3";"VhVNS.4";"VhVNS.5";"VhVNS.6";"cvVNS";"nSTRATMH";"nhSTRATMH.1";"nhSTRATMH.2";"nhSTRATMH.3";"nhSTRATMH.4";"nhSTRATMH.5";"nhSTRATMH.6";"NhSTRATMH.1";"NhSTRATMH.2";"NhSTRATMH.3";"NhSTRATMH.4";"NhSTRATMH.5";"NhSTRATMH.6";"VhSTRATMH.1";"VhSTRATMH.2";"VhSTRATMH.3";"VhSTRATMH.4";"VhSTRATMH.5";"VhSTRATMH.6";"cvSTRATMH";"nLH";"nhLH.1";"nhLH.2";"nhLH.3";"nhLH.4";"nhLH.5";"nhLH.6";"NhLH.1";"NhLH.2";"NhLH.3";"NhLH.4";"NhLH.5";"NhLH.6";"VhLH.1";"VhLH.2";"VhLH.3";"VhLH.4";"VhLH.5";"VhLH.6";"cvLH";"nKO";"nhKO.1";"nhKO.2";"nhKO.3";"nhKO.4";"nhKO.5";"nhKO.6";"NhKO.1";"NhKO.2";"NhKO.3";"NhKO.4";"NhKO.5";"NhKO.6";"VhKO.1";"VhKO.2";"VhKO.3";"VhKO.4";"VhKO.5";"VhKO.6";"cvKO";"nBarca";"nhBarca.1";"nhBarca.2";"nhBarca.3";"nhBarca.4";"nhBarca.5";"nhBarca.6";"NhBarca.1";"NhBarca.2";"NhBarca.3";"NhBarca.4";"NhBarca.5";"NhBarca.6";"VhBarca.1";"VhBarca.2";"VhBarca.3";"VhBarca.4";"VhBarca.5";"VhBarca.6";"cvBarca"
"AgrMinas.txt";1197026;27;3;3;4;3;4;10;354;221;143;66;44;16;11020,6695074851;35214,8440449622;108031,063426084;267287,258953168;1910414,92561983;83501273,4375;0,04993;27;3;3;3;4;4;10;354;221;145;78;30;16;11020,6695074851;35214,8440449622;114394,875434007;459783,333333333;1506525,79555556;83501273,4375;0,0498867084023751;36;2;2;3;5;10;14;210;202;169;153;91;19;2359,59963718821;7127,87089501029;31900,286194461;164870,627792729;1921516,04347301;83836979,0858726;0,0474472276600738;28;3;3;4;4;3;11;354;221;146;77;30;16;11020,6695074851;35214,8440449622;117794,84030775;452201,239669421;1506525,79555556;83501273,4375;0,0478593129503967;31;9;7;3;5;2;5;516;199;69;44;10;6;40959,4264317122;172766,63916588;282113,403285755;1866996,40458303;1765382,39999999;80721527,7777778;0,0484973331038448
"anaemia_Haemoglobin.txt";8857,7;12;2;2;2;2;2;2;5;19;8;29;501;162;0,4096;0,117063711911357;0,00234374999999998;0,0410939357907253;0,895207668495345;0,476134735558604;0,0388;12;2;2;2;2;2;2;77;105;141;142;160;99;0,727694383538539;0,0883229024943311;0,0642945525878979;0,047661674270978;0,0781214843750001;0,380771349862259;0,00910083124206878;12;2;2;2;2;2;2;86;136;133;110;160;99;0,774526771227691;0,116240808823529;0,0467578721239188;0,0285694214876033;0,0781214843750001;0,380771349862259;0,00961245344609401;12;2;2;2;2;2;2;77;105;141;142;160;99;0,727694383538539;0,0883229024943311;0,0642945525878979;0,047661674270978;0,0781214843750001;0,380771349862259;0,00910083124206878;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Inf
"BeefFarms.txt";542350;19;2;2;2;2;4;7;201;108;52;32;24;13;3221,46585480557;14103,212191358;73425,3561390533;250903,125;1416464,10416667;18256426,3786982;0,04997;19;2;2;2;2;4;7;209;100;52;32;24;13;3687,89844554841;13066,07;73425,3561390533;250903,125;1416464,10416667;18256426,3786982;0,0499227882010675;22;2;2;2;3;4;9;209;100;47;37;23;14;3687,89844554841;13066,07;47122,6057039384;307086,92184076;1085434,31379962;20295988,7806122;0,0451208373660504;20;2;2;2;2;4;8;217;96;50;30;24;13;4237,46556520631;15718,1083984375;83917,1204;230097,448888889;1416464,10416667;18256426,3786982;0,0482723908560018;20;6;4;2;3;3;2;291;71;31;22;10;5;17163,98894724;104305,026389242;230872,936792991;800899,343069121;4348771,77599999;4240090,55999999;0,049128076729987
"beta103.txt";772267,136016;12;2;2;2;2;2;2;110;102;33;338;52;365;3706,2497245404;246,730173785641;14,7234497110095;1032,29179774164;16,6289911369757;1326,66056799072;0,01687;12;2;2;2;2;2;2;88;164;203;209;187;149;3002,8899983389;706,577286795303;333,041717390222;308,268089956211;294,005569748279;390,909001024833;0,00854808616786885;12;2;2;2;2;2;2;91;163;207;217;174;148;3103,81069247281;664,11694873262;349,912309614694;325,369698152887;249,755999858498;387,913204480481;0,00861132939706273;12;2;2;2;2;2;2;88;164;203;209;187;149;3002,8899983389;706,577286795303;333,041717390222;308,268089956211;294,005569748279;390,909001024833;0,00854808616786885;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Inf
"CensoCO.txt";103377;18;3;4;4;3;2;2;2685;3720;2352;994;212;14;1,83689425701098;2,02807145334721;3,54609769077699;13,2361978713326;106,403435386258;43481,6785714286;0,04997;19;4;2;3;5;3;2;3580;2825;2184;1162;224;2;2,52990106426142;1,2252955125695;2,69892592145339;14,7072084749127;293,870455994898;126380,25;0,0493927039202676;29;2;2;2;8;10;5;1123;1562;2417;3487;1356;32;0,663622833191529;0,249132731436928;0,70727465037422;4,68602040155869;58,2035594016759;21429,0537109375;0,0476036866191174;20;5;3;3;4;3;2;3580;2825;2184;1180;206;2;2,52990106426142;1,2252955125695;2,69892592145339;16,1468687158862;302,890093316995;126380,25;0,0472321091184822;19;5;4;3;4;2;1;3580;3297;1880;1087;132;1;2,52919438798647;1,84634524992164;2,73977774914999;23,9451117085944;514,32243970351;0;0,0494837596915941
"chi1.txt";939,601297267;20;2;2;3;4;4;5;365;203;180;131;89;32;0,00302654595708775;0,0139296383647061;0,044536440240523;0,0772527551970282;0,22514758872528;2,90183074118253;0,04999;20;3;3;3;3;4;4;415;212;151;120;79;23;0,00567092963987515;0,0196282655772551;0,0477925137134936;0,0759936124171083;0,271393682986151;3,13921268272352;0,0484187704671394;21;3;3;3;3;3;6;415;212;151;115;74;33;0,00567092963987515;0,0196282655772551;0,0477925137134936;0,0670280867432313;0,168783296855667;2,87677069950333;0,0473538658734221;20;3;3;3;3;4;4;415;213;151;119;79;23;0,00567092963987515;0,0199011274861788;0,0482727533198115;0,0748595569348191;0,271393682986151;3,13921268272352;0,0484095354729809;21;3;5;2;3;4;4;437;266;87;113;75;22;0,00738322386113274;0,0433625524940774;0,0223534137374178;0,0755366783772136;0,268521051421714;3,03119024647018;0,0490267819187113
"chi5.txt";5051,940520634;12;2;2;2;2;2;2;107;186;242;199;182;84;0,124490656958572;0,15665068106325;0,216300500119974;0,393473629375224;0,790906707791729;8,42751716038531;0,04822;12;2;2;2;2;2;2;198;241;208;187;128;38;0,284771701645877;0,15874661580415;0,267482790050813;0,459565022581188;1,19418613233735;8,80964586415891;0,0393072237159469;13;2;2;2;2;2;3;178;229;201;181;137;74;0,244071961373734;0,146700700310763;0,199829976421945;0,361450697327561;0,606323309131101;8,44992065988594;0,0385322477845203;12;2;2;2;2;2;2;180;231;196;167;164;62;0,24823113893747;0,148959422009726;0,190290545980074;0,299786634231553;1,0006029699721;8,72657857261864;0,0420778880080938;12;2;2;2;2;2;2;213;236;250;171;107;23;0,316860822952804;0,152341536824025;0,474497870234423;0,520810909854758;1,50599425241756;7,17400219821166;0,0414048568584936
"Debtors.txt";2825374;32;3;3;6;6;9;5;1515;856;599;243;130;26;3061,22577350804;9588,05541832256;77191,6132396509;327261,112669139;2777841,29017751;24644840,0828402;0,04996;31;4;5;5;6;6;5;1618;949;427;239;110;26;4025,27603398724;17040,1209170321;76036,8595889847;418027,615307855;2510488,8314876;24644840,0828402;0,0497767083759156;33;4;5;5;5;6;8;1614;951;422;221;121;40;3981,73491552386;16993,4266702491;70812,3184564587;267918,920210479;1608677,07178471;26130541,644375;0,0482782292125747;32;4;5;5;6;7;5;1614;954;426;239;110;26;3981,73491552386;17181,7050441922;75914,9322665256;418027,615307855;2510488,8314876;24644840,0828402;0,0488574079061089;34;6;9;3;6;6;4;1805;1027;248;190;80;19;6407,37827895012;44332,9889593824;101800,245281254;658342,374712932;3276940,63242381;21953302,430675;0,0491865489694328
"GAMMA2000.txt";7996,7492586906;12;2;2;2;2;2;2;151;590;427;318;324;190;0,0433497151423389;0,232701446181829;0,140888903057117;0,181719318149718;0,570019687882147;3,7407698717653;0,04991;12;2;2;2;2;2;2;439;474;407;321;236;123;0,170388961055147;0,126340470921925;0,16674231920288;0,259984093327965;0,674338535369597;2,90928860886589;0,0391070828724329;12;2;2;2;2;2;2;439;459;396;315;242;149;0,170388961055147;0,117927722841889;0,15057672794535;0,227314546707556;0,521962422178708;3,23015597854765;0,0399767860808272;12;2;2;2;2;2;2;527;440;365;303;216;149;0,233506179061882;0,110326677824508;0,143302412452578;0,231513410506187;0,455886272183261;3,23015597854765;0,0412660146886772;12;2;2;2;2;2;2;510;459;480;305;89;157;0,220080256572833;0,119446797470741;0,301015350815702;0,376725609814055;0,115882777679869;3,32362103203151;0,0457531832177706
"hies_income.txt";58274058,847893;14;3;2;2;2;2;3;1322;706;489;566;361;122;4736271,77477911;1281488,24055471;1625927,74022255;7058878,63150244;31702202,5416335;415594452,658606;0,0499;12;2;2;2;2;2;2;1073;977;677;454;291;94;3683541,30184559;2366490,38074794;3918438,18579537;8129661,56756385;35484333,594421;419649864,057309;0,0493780595346954;14;2;2;2;2;3;3;872;967;750;552;314;111;2987564,18823938;2032562,59125987;3486026,32435778;8569434,37401666;31163685,9721044;417816849,469903;0,0455452347134597;13;2;2;2;2;2;3;957;1041;710;471;292;95;3278551,53177031;2551613,68414886;4064951,43305194;8416921,84930733;35100893,1626501;419534912,273791;0,047113835567364;14;2;2;2;2;3;3;896;1033;607;539;380;111;3066615,34052092;2412492,30944;2347766,12144496;6385755,73978243;36959764,2723521;414052733,708912;0,046325325802149
