"pop";"Tx";"nVNS";"nhVNS.1";"nhVNS.2";"nhVNS.3";"NhVNS.1";"NhVNS.2";"NhVNS.3";"VhVNS.1";"VhVNS.2";"VhVNS.3";"cvVNS";"nSTRATMH";"nhSTRATMH.1";"nhSTRATMH.2";"nhSTRATMH.3";"NhSTRATMH.1";"NhSTRATMH.2";"NhSTRATMH.3";"VhSTRATMH.1";"VhSTRATMH.2";"VhSTRATMH.3";"cvSTRATMH";"nLH";"nhLH.1";"nhLH.2";"nhLH.3";"NhLH.1";"NhLH.2";"NhLH.3";"VhLH.1";"VhLH.2";"VhLH.3";"cvLH";"nKO";"nhKO.1";"nhKO.2";"nhKO.3";"NhKO.1";"NhKO.2";"NhKO.3";"VhKO.1";"VhKO.2";"VhKO.3";"cvKO";"nBarca";"nhBarca.1";"nhBarca.2";"nhBarca.3";"NhBarca.1";"NhBarca.2";"NhBarca.3";"VhBarca.1";"VhBarca.2";"VhBarca.3";"cvBarca"
"AgrMinas.txt";1197026;31;10;11;10;632;189;23;139456,788292641;2053911,89317208;83128421,6446125;0,09972;31;7;11;13;581;227;36;77782,4647337814;1276381,14339498;72910421,4969136;0,0989837321264521;31;7;11;13;581;227;36;77782,4647337814;1276381,14339498;72910421,4969136;0,0989837321264521;31;7;11;13;581;227;36;77782,4647337814;1276381,14339498;72910421,4969136;0,0989837321264521;31;7;12;12;575;235;34;72453,5844510563;1383310,5385481;72446300,9450437;0,0986248131392139
"anaemia_Haemoglobin.txt";8857,7;6;2;2;2;5;412;307;0,4096;1,33364943679894;0,659382486816836;0,04277;6;2;2;2;174;291;259;1,07910688333994;0,236334951169684;0,594138429659665;0,0241764724139564;6;2;2;2;182;303;239;1,0952397053496;0,24973063642998;0,572094326079725;0,0240896858594581;6;2;2;2;174;291;259;1,07910688333994;0,236334951169684;0,594138429659665;0,0241764724139564;0;0;0;0;0;0;0;0;0;0;Inf
"BeefFarms.txt";542350;22;9;8;5;353;63;14;92565,6974696852;2699331,40186445;20295988,7806122;0,0998;22;7;9;6;349;66;15;80481,1505652663;2497508,66666667;22139850,8622222;0,0995393954867189;26;4;6;16;309;84;37;25461,6124255087;613318,661422902;30314614,3564646;0,0965469649748358;23;8;9;6;349;66;15;80481,1505652663;2497508,66666667;22139850,8622222;0,0965037854948026;22;8;7;7;351;62;17;85835,9695252593;2078126,50840857;24081793,686953;0,0991037158181427
"beta103.txt";772267,136016;6;2;2;2;120;180;700;4019,27995581494;520,213793983729;4219,87766639043;0,04231;6;2;2;2;189;397;414;5279,56368408934;1471,37318644807;1627,24058344069;0,0241364647615469;6;2;2;2;189;397;414;5279,56368408934;1471,37318644807;1627,24058344069;0,0241364647615469;6;2;2;2;189;397;414;5279,56368408934;1471,37318644807;1627,24058344069;0,0241364647615469;0;0;0;0;0;0;0;0;0;0;Inf
"CensoCO.txt";103377;20;8;8;4;6877;2967;133;7,65736908632119;30,8892003704609;5994,5203233648;0,09904;20;8;7;5;6877;2974;126;7,65736908632119;31,818943848254;6297,91131267322;0,0988990917313234;21;6;9;6;5729;4040;208;5,23864555489809;25,2932788452113;3983,37072392751;0,0978338356897174;20;7;8;5;6405;3426;146;6,5343928588187;29,9204476328642;5505,48456558454;0,0989884538759634;21;10;8;3;7398;2531;48;9,18295248347397;48,454627941522;14734,9419849537;0,0964800563319057
"chi1.txt";939,601297267;20;6;7;7;610;288;102;0,0423881296589055;0,267457938041873;2,26272046123863;0,09999;20;6;7;7;620;278;102;0,0459810076503082;0,258080454802116;2,26272046123863;0,0999926181058099;22;7;7;8;620;278;102;0,0459810076503082;0,258080454802116;2,26272046123863;0,0951087903836445;21;6;7;8;614;284;102;0,0437850162531696;0,263726534695996;2,26272046123863;0,0975426929781611;21;6;6;9;614;263;123;0,0437137051517801;0,20641878641237;2,1881239250827;0,0978574450493669
"chi5.txt";5051,940520634;8;2;2;4;362;379;259;0,638091166758949;0,973857127685736;8,0807209716017;0,09789;8;4;2;2;502;339;159;1,03644791507091;1,26977499599773;8,21558378836633;0,0969421700019863;9;3;3;3;466;363;171;0,914028647403118;1,31563748804071;8,17095022423954;0,0888082743766548;8;3;2;3;503;338;159;1,04001912456381;1,2647049996212;8,21558378836633;0,0942947395059548;8;2;3;3;402;407;191;0,731648242868918;1,39553842086454;8,08426496109213;0,0953580096631808
"Debtors.txt";2825374;34;14;8;12;2727;516;126;51952,3352260174;804169,771077459;21693584,0617284;0,09996;34;12;10;12;2713;524;132;50122,9348716077;748732,39467397;21370302,6089876;0,0994693880990833;35;12;10;13;2674;561;134;45390,1942164191;744315,638200184;21269166,9558922;0,0978680052222123;34;13;9;12;2737;504;128;53286,3711279241;777995,23777636;21587214,2953491;0,099377548854716;34;11;9;14;2653;567;149;43040,2942981436;634143,255341774;20489184,0587699;0,0995789783009003
"GAMMA2000.txt";7996,7492586906;8;2;3;3;680;931;389;0,356160743747065;1,05651434398959;4,98174710096541;0,0997;8;4;2;2;996;690;314;0,673136442993295;0,901197110017149;4,67190550008583;0,0975898704870729;9;3;3;3;946;708;346;0,614000594180855;0,852236593899046;4,81963208078302;0,0897439222187668;8;3;3;2;1013;706;281;0,694690418160382;1,02095744214412;4,48861204502974;0,0953816751094293;8;3;2;3;954;636;410;0,622662410430295;0,624839093927001;5,04969581545892;0,096472491774216
"hies_income.txt";58274058,847893;11;3;4;4;1814;1368;384;7927021,18970045;24900367,9409972;349302825,100845;0,09864;11;5;3;3;2170;1098;298;11471667,198474;27826497,7139977;366989117,635251;0,0981066544178628;11;4;3;4;2082;1118;366;10442695,0981498;22449312,7333177;353380343,031502;0,0975695747267129;11;3;4;4;1862;1321;383;8326685,47138343;24317892,7272134;349525472,284739;0,0983815011847035;11;5;3;3;2331;939;296;13819886,0663908;24809288,2449306;366155005,903811;0,0983385923045387
