"pop";"Tx";"nVNS";"nhVNS.1";"nhVNS.2";"nhVNS.3";"nhVNS.4";"nhVNS.5";"NhVNS.1";"NhVNS.2";"NhVNS.3";"NhVNS.4";"NhVNS.5";"VhVNS.1";"VhVNS.2";"VhVNS.3";"VhVNS.4";"VhVNS.5";"cvVNS";"nSTRATMH";"nhSTRATMH.1";"nhSTRATMH.2";"nhSTRATMH.3";"nhSTRATMH.4";"nhSTRATMH.5";"NhSTRATMH.1";"NhSTRATMH.2";"NhSTRATMH.3";"NhSTRATMH.4";"NhSTRATMH.5";"VhSTRATMH.1";"VhSTRATMH.2";"VhSTRATMH.3";"VhSTRATMH.4";"VhSTRATMH.5";"cvSTRATMH";"nLH";"nhLH.1";"nhLH.2";"nhLH.3";"nhLH.4";"nhLH.5";"NhLH.1";"NhLH.2";"NhLH.3";"NhLH.4";"NhLH.5";"VhLH.1";"VhLH.2";"VhLH.3";"VhLH.4";"VhLH.5";"cvLH";"nKO";"nhKO.1";"nhKO.2";"nhKO.3";"nhKO.4";"nhKO.5";"NhKO.1";"NhKO.2";"NhKO.3";"NhKO.4";"NhKO.5";"VhKO.1";"VhKO.2";"VhKO.3";"VhKO.4";"VhKO.5";"cvKO";"nBarca";"nhBarca.1";"nhBarca.2";"nhBarca.3";"nhBarca.4";"nhBarca.5";"NhBarca.1";"NhBarca.2";"NhBarca.3";"NhBarca.4";"NhBarca.5";"VhBarca.1";"VhBarca.2";"VhBarca.3";"VhBarca.4";"VhBarca.5";"cvBarca"
"AgrMinas.txt";1197026;66;5;8;10;16;27;323;249;159;86;27;8501,57434653835;37704,3518007774;161568,099996044;1179978,23702001;80528437,654321;0,02994;66;5;7;8;12;34;328;247;146;89;34;8818,81126375669;38932,464587192;117794,84030775;832165,71922737;74641643,3979239;0,0299869760364983;68;4;8;10;14;32;286;271;164;91;32;5990,64684092132;32908,0179463787;141598,646490184;951072,605965463;76392231,5585938;0,0295076668815962;66;6;7;11;14;28;352;223;159;82;28;10832,3380358988;35501,6562971305;172411,595110953;1083664,506395;79763525,8609694;0,0297081775351345;68;7;8;17;14;22;354;226;173;69;22;10989,5376727182;39053,746553375;291014,945821103;1350159,60892397;79657029,4538881;0,0296697085085404
"anaemia_Haemoglobin.txt";8857,7;10;2;2;2;2;2;7;70;19;321;307;0,384897959183674;0,385234693877551;0,013240997229917;0,38127638512825;0,659382486816836;0,02557;10;2;2;2;2;2;80;142;210;193;99;0,74234375;0,136425808371355;0,110993197278912;0,107974979194072;0,380771349862259;0,0112413539677339;10;2;2;2;2;2;86;187;159;168;124;0,774526771227691;0,195137407417999;0,0621526047229144;0,0734520266439908;0,421864594172737;0,0119285515945701;10;2;2;2;2;2;80;142;210;193;99;0,74234375;0,136425808371355;0,110993197278912;0,107974979194072;0,380771349862259;0,0112413539677339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Inf
"BeefFarms.txt";542350;44;6;7;9;3;19;246;100;47;18;19;7292,30525811356;58580,9324;415317,464916252;350369,472222222;27396891,5235457;0,02993;44;7;7;7;3;20;259;92;42;17;20;9373,54726375576;69158,9413988658;358952,723922902;294400,878892734;28297016,91;0,0299243222223357;50;3;3;2;5;37;209;100;47;37;37;3687,89844554841;13066,07;47122,6057039384;307086,92184076;30314614,3564646;0,0272065245493684;45;7;8;7;4;19;253;98;41;19;19;8285,57118530207;71170,4618908788;337395,777513385;441022,637119114;27396891,5235457;0,0291969680713206;44;6;7;9;3;19;250;96;47;18;19;7795,50580377599;56596,4122461388;406480,923109523;330904,50154321;25954949,8644117;0,0296609693157302
"beta103.txt";772267,136016;10;2;2;2;2;2;81;270;20;506;123;2810,36885459304;1398,46078167714;3,24793056249541;2070,35638211093;318,102644606288;0,02338;10;2;2;2;2;2;88;167;222;259;264;3002,8899983389;721,266744934778;415,671030001594;478,963244080421;787,004504318502;0,011184814730694;10;2;2;2;2;2;91;177;211;259;262;3103,81069247281;733,365711829537;373,664036813788;479,969061031671;778,730814834611;0,0111888912937208;10;2;2;2;2;2;88;168;221;259;264;3002,8899983389;726,226319745381;411,488010347617;478,963244080421;787,004504318502;0,01118454224586;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Inf
"CensoCO.txt";103377;67;16;16;15;11;9;3580;3818;2027;531;21;2,52990106426142;2,78958208766009;8,52429352240072;73,9335440007661;30707,1337868481;0,02994;67;14;16;14;12;11;3580;3818;1967;590;22;2,52990106426142;2,78958208766009;7,42204999678219;71,5181413386958;29501,7210743802;0,0299027423023058;86;6;6;26;34;14;1858;2427;4074;1584;34;1,24757948927108;0,628705119866819;4,78383442157109;56,4330935618814;20332,3987889273;0,0297023660958371;69;15;17;14;13;10;3580;3818;1967;590;22;2,52990106426142;2,78958208766009;7,42204999678219;71,5181413386958;29501,7210743802;0,0293760179875729;69;20;19;15;10;5;4285;3796;1586;302;8;3,23664525311845;3,70423930813776;13,0529626110962;153,524118263663;59712,40625;0,0299114874200828
"chi1.txt";939,601297267;67;10;16;15;10;16;442;269;170;83;36;0,00793223924005934;0,0472019738009493;0,116715972041665;0,181396267316315;2,82716607691267;0,03;67;10;16;16;10;15;437;274;172;84;33;0,00740015786081423;0,0481947057682858;0,120015540253403;0,199738156924703;2,87677069950333;0,0299206128688865;71;10;12;11;15;23;431;246;146;125;52;0,00685240760584147;0,0327202885172354;0,0679236295554896;0,194180203136143;2,61713876505708;0,0291969294910325;67;10;16;16;10;15;437;274;172;84;33;0,00740015786081423;0,0481947057682858;0,120015540253403;0,199738156924703;2,87677069950333;0,0299206128688865;70;15;19;13;12;11;481;266;146;84;23;0,0126046215434355;0,0666614028072909;0,101464549054904;0,287501685814699;3,00272517477901;0,0299262854910016
"chi5.txt";5051,940520634;29;4;6;7;5;7;210;299;246;171;74;0,311568769446066;0,275409935115707;0,581304747203487;0,824526803435369;8,44992065988594;0,02998;29;4;6;5;5;9;223;310;222;170;75;0,341671368704792;0,30794593511826;0,494938387981525;0,802927479356938;8,43528071596916;0,0299679338609385;31;5;6;6;6;8;223;310;222;170;75;0,341671368704792;0,30794593511826;0,494938387981525;0,802927479356938;8,43528071596916;0,0287827494713716;30;5;6;6;5;8;223;311;226;165;75;0,341671368704792;0,310458195923289;0,516468194160554;0,771140392041203;8,43528071596916;0,0292795657296429;32;7;10;6;6;3;270;362;206;135;27;0,452476647282046;0,562378687606057;0,554353701041774;1,58146019785658;7,71697788079592;0,0292392614571202
"Debtors.txt";2825374;107;18;21;23;17;28;1885;947;349;137;51;7754,01900695847;41747,3076028452;324464,937529249;1281784,45095636;25748882,1599385;0,03;107;18;23;20;17;29;1892;954;334;137;52;7879,51610989188;44935,0251671216;309209,961929435;1242567,47828867;25681664,4360207;0,0299688115684522;109;17;21;21;20;30;1838;969;355;154;53;6929,14316579856;37792,5646645601;281999,206157508;1348731,39129701;25636653,1470274;0,0297030639631354;108;19;22;21;17;29;1904;942;334;137;52;8104,3881079086;44522,3879670575;309209,961929435;1242567,47828867;25681664,4360207;0,0297912759096003;115;29;24;27;20;15;2119;801;313;110;26;13380,392828873;63647,0662130175;533061,679511909;2487666,20574681;23696961,6181156;0,0299163768015734
"GAMMA2000.txt";7996,7492586906;30;7;8;5;4;6;597;641;367;255;140;0,286902061103651;0,298728376568047;0,295477537647604;0,616128637127116;3,13420310235978;0,02988;29;5;6;6;6;6;499;578;456;318;149;0,21204898524135;0,204225787173184;0,343237062968734;0,73186781195294;3,23015597854765;0,0298605398809698;32;5;6;6;7;8;476;546;452;353;173;0,19538648475323;0,172938588840299;0,291851953121376;0,700931477853917;3,54479446566634;0,0285004315170313;29;5;6;6;6;6;494;580;459;317;150;0,208399343894376;0,204943244069096;0,346440146682484;0,724067145996128;3,24522031326964;0,0298622357961247;31;6;4;4;7;10;515;497;385;390;213;0,223848453297623;0,142635310065943;0,186303605412125;0,626091831388502;3,94861616289547;0,0295348279013187
"hies_income.txt";58274058,847893;44;8;10;10;7;9;1137;1221;751;333;124;3925116,10793908;4677322,29353106;11040158,4063318;28911538,8124403;415531426,878356;0,02993;44;10;9;8;7;10;1284;1076;713;374;119;4553524,29172563;3874162,16604824;9190569,4668107;33626368,647503;415769492,573691;0,0297977309070925;46;11;8;9;9;9;1282;1072;718;375;119;4544461,8686407;3821745,16600459;9239535,39502122;33707886,2410847;415769492,573691;0,0290177814932891;44;10;8;9;8;9;1272;1086;717;372;119;4499726,165159;3920531,586688;9313822,76852221;33462595,3629444;415769492,573691;0,02968526536566;46;6;10;12;7;11;880;1302;890;355;139;3011682,68679941;4221088,04826999;11845460,0068758;27243660,4809301;411214098,056088;0,0297888605658359
"iso2004.txt";135501719204;37;4;4;3;5;21;229;137;64;36;21;275105158966657;999845917739903;2876651260858594;18334250724284396;4030241381151536640;0,02946;37;6;3;5;5;18;265;108;71;25;18;456696319775760;915490317817856;5221674360804521;29182181131638508;4327602753253619200;0,0299746686940743;38;6;5;7;5;15;252;125;73;22;15;380449217119920;1172627740923929;6942994415443542;43083630857214288;4655807634754842624;0,0290082078139909;37;5;4;4;4;20;254;123;62;28;20;390621673241435;1152921321007996;3483050771711479;19334177313516988;4119699925846889472;0,0290918064042178;39;3;4;3;7;22;205;142;66;52;22;198226347220655;689891273437393;2102291874197694;17554291304967288;3761998256501414400;0,0284850858740874
"Kozak1.txt";64445;13;3;2;3;2;3;1041;1152;985;600;222;2,50088171703666;1,20480007595486;1,95394264217063;4,80119722222222;33,5631239347456;0,02998;13;3;3;2;2;3;1041;1152;985;561;261;2,50088171703666;1,20480007595486;1,95394264217063;3,77826710006641;33,2688598229621;0,029918256037909;20;3;2;2;5;8;785;531;877;1204;603;1,92243742139641;0,249679920272662;0,665454039569435;3,63920100219644;33,1198952721192;0,0278437699796026;15;4;3;3;2;3;1041;1152;985;561;261;2,50088171703666;1,20480007595486;1,95394264217063;3,77826710006641;33,2688598229621;0,0276522218668114;15;3;4;2;2;4;1041;1383;754;450;372;2,49847933306256;1,87721053410277;1,28177265010475;1,96029581344306;32,9942843320814;0,0289681291155503
"Kozak2.txt";11295808;41;8;4;9;10;10;1164;949;1072;640;175;103389,096208122;60737,075619503;206604,456580495;766817,747067871;9193845,12992653;0,02997;40;8;9;8;7;8;1300;1252;877;422;149;122940,586553254;128845,103034506;233948,8941803;686895,786488399;9468854,21818837;0,0296839787491486;42;8;8;8;8;10;1215;1193;907;515;170;110375,07208183;108133,866839885;201641,366130634;680106,707753794;9240981,26536332;0,0289890852612215;40;8;8;8;7;9;1271;1239;897;439;154;118572,985467126;122980,748949431;231632,034943681;680324,464817015;9407193,02854613;0,0296405089498661;41;6;6;10;10;9;1018;1132;1112;589;149;84991,2007315127;85034,1201582579;240996,554630307;876686,437249573;9405304,86101934;0,0298758393743112
"Kozak3.txt";448235;57;8;9;9;13;18;679;586;400;254;81;553,202266175893;802,498759449731;1927,43974375;8559,1197997396;159373,001676574;0,02998;57;9;8;12;13;15;692;564;424;247;73;573,128437301614;735,814958377345;2233,26468494126;9591,29964431477;158500,075436292;0,0298344489711974;59;9;9;11;14;16;686;568;421;251;74;563,791141446166;738,572179999008;2154,36426109083;9510,26999571435;158543,895726808;0,0292499378394139;57;9;8;11;13;16;686;561;428;250;75;563,791141446166;710,106005001255;2197,38821621976;9312,5524;158657,051733333;0,0298154653918858;66;26;9;14;9;8;1106;438;318;106;32;1613,84213618203;1288,7734487753;5319,42375737589;21618,2892631165;159699,375030517;0,0297489649194922
"ME84.txt";505256;32;6;7;4;7;8;139;78;34;25;8;22816,6001759743;72269,2163050625;167009,875432526;834440,2016;275203895,5;0,0296;31;7;6;4;7;7;147;76;30;24;7;27486,1489194317;75037,0780817174;173310,432222222;829691,956597222;287499087,061225;0,0299831260011117;33;4;4;8;7;10;116;66;65;27;10;13449,7897592152;27967,4012855831;174667,600946746;790473,294924554;247111719,2;0,0289644761971031;31;7;6;5;5;8;145;75;35;21;8;26052,4168370987;69542,8522666667;231613,619591837;645614,657596372;275203895,5;0,0297852409961163;33;5;9;5;4;10;125;95;34;20;10;16190,8307681279;94615,5425338969;202159,448325871;490779,925125;222400547,279999;0,0289254154309473
"mrts.txt";33765595,919363;67;10;12;15;13;17;592;724;494;160;30;4349778,55312373;5377299,5317056;17626772,8429513;125638445,10687;6071453928,5371;0,02999;66;14;12;11;12;17;770;682;371;148;29;6283569,61985189;5919609,08162385;16244471,2801707;124812044,607326;6149326306,18846;0,0298981546442957;69;14;13;11;13;18;752;689;377;152;30;6076666,98437568;5916307,67510193;15547297,7872847;121178594,329307;6071453928,5371;0,0291118889851534;66;14;12;11;11;18;769;680;374;145;32;6272038,78164219;5864826,39588939;16343022,6421741;107288138,103457;5922876843,14162;0,0299214951463912;67;12;10;15;12;18;703;630;483;152;32;5521354,27274053;4447085,35911072;18240964,5232585;110328298,353112;5737786941,79345;0,0297718111135906
"p100e10.txt";99569,17584056;10;2;2;2;2;2;419;40;13;377;151;28,5397742766656;0,0766727812968125;0,0147621306792554;8,00153006826624;15,851143019498;0,01807;10;2;2;2;2;2;122;228;294;229;127;14,3155507836526;4,74634554148382;3,98893736489767;3,98510640934436;14,3868935114938;0,00788297882530118;10;2;2;2;2;2;122;227;278;244;129;14,3155507836526;4,7067438067074;3,61892203830777;4,39653216414104;14,507635692075;0,00785989029091757;10;2;2;2;2;2;122;228;294;229;127;14,3155507836526;4,74634554148382;3,98893736489767;3,98510640934436;14,3868935114938;0,00788297882530118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Inf
"p75.txt";8182;31;4;3;6;5;13;111;73;58;29;13;5,30460189919649;7,72152373803716;28,1082045184304;121,614744351962;28116,8284023669;0,02993;31;3;4;3;6;15;98;86;51;34;15;4,45408163265306;9,25648999459167;14,316801230296;114,540657439446;25722,1955555556;0,0299370402271883;34;3;6;5;6;14;79;101;57;33;14;3,441435667361;9,56219978433487;20,3194829178209;118,662993572084;26835,4540816327;0,027828996467802;32;5;3;4;6;14;123;61;53;33;14;6,35217132659131;6,20800859983875;17,2552509789961;118,662993572084;26835,4540816327;0,0285546254991032;31;5;3;5;5;13;123;62;57;29;13;6,30052765726941;6,71125927293476;27,1973130733883;117,421132477757;25953,9954483388;0,0296719216848269
"pop1076.txt";22952;43;9;5;5;4;20;703;232;91;30;20;3,4509488900445;9,66080187277051;67,8096848206738;383,565555555556;116611,64;0,02986;43;7;8;4;3;21;662;286;78;29;21;2,69020910725532;13,6605701990317;62,5412557527942;322,508917954816;115547,283446712;0,0299872807122498;221;2;2;2;3;212;312;222;128;201;213;0,246671597633136;0,24926953981008;0,24945068359375;3,23566248360189;25525,3442218255;0,0129685366436504;43;9;5;5;5;19;703;232;90;32;19;3,4509488900445;9,66080187277051;63,96;466,2177734375;117438,725761773;0,0297819986474118;44;4;9;8;4;19;534;381;115;27;19;1,24702912468491;10,7061691172085;92,4187983890853;370,398618096835;111257,740195363;0,0294371163077363
