"pop";"Tx";"nVNS";"nhVNS.1";"nhVNS.2";"nhVNS.3";"NhVNS.1";"NhVNS.2";"NhVNS.3";"VhVNS.1";"VhVNS.2";"VhVNS.3";"cvVNS";"nSTRATMH";"nhSTRATMH.1";"nhSTRATMH.2";"nhSTRATMH.3";"NhSTRATMH.1";"NhSTRATMH.2";"NhSTRATMH.3";"VhSTRATMH.1";"VhSTRATMH.2";"VhSTRATMH.3";"cvSTRATMH";"nLH";"nhLH.1";"nhLH.2";"nhLH.3";"NhLH.1";"NhLH.2";"NhLH.3";"VhLH.1";"VhLH.2";"VhLH.3";"cvLH";"nKO";"nhKO.1";"nhKO.2";"nhKO.3";"NhKO.1";"NhKO.2";"NhKO.3";"VhKO.1";"VhKO.2";"VhKO.3";"cvKO";"nBarca";"nhBarca.1";"nhBarca.2";"nhBarca.3";"NhBarca.1";"NhBarca.2";"NhBarca.3";"VhBarca.1";"VhBarca.2";"VhBarca.3";"cvBarca"
"p100e10.txt";99569,17584056;6;2;2;2;362;552;86;25,2811691206135;18,3538936910707;12,5946841016058;0,02126;6;2;2;2;304;398;298;22,2130487259299;7,6305457811776;21,8232978431395;0,0161427545519407;6;2;2;2;304;398;298;22,2130487259299;7,6305457811776;21,8232978431395;0,0161427545519407;6;2;2;2;304;404;292;22,2130487259299;7,88599825848629;21,5969047972193;0,0161145346581048;0;0;0;0;0;0;0;0;0;0;Inf
"p75.txt";8182;38;9;13;16;185;83;16;21,5214024835646;187,776164900566;24703,625;0,04916;38;9;11;18;185;81;18;21,5214024835646;162,076817558299;22850,1358024691;0,0491016594739184;39;10;14;15;184;85;15;20,8443998109641;201,013979238754;25722,1955555556;0,0478668157383069;38;9;13;16;184;84;16;20,8443998109641;188,320861678005;24703,625;0,0490361424734023;38;9;15;14;180;90;14;18,8759060356653;217,436034293554;24918,6359329447;0,0492533713469235
"pop1076.txt";22952;54;11;15;28;850;198;28;8,921323183391;305,476584022039;106137,209183673;0,04999;54;13;15;26;883;167;26;11,7464091451848;362,066692961383;109079,621301775;0,0498071258152662;55;13;16;26;863;187;26;9,92303116805345;350,713431896823;109079,621301775;0,0489227627723032;54;15;14;25;898;153;25;13,3270122668042;394,051604083899;110490,8384;0,0497354943539729;54;12;14;28;863;185;28;9,91153287006034;309,612110003356;102346,594569971;0,0497950138514908
"pop1616.txt";55876;81;20;18;43;1402;169;45;39,0700955024512;2433,29050103288;195327,017283951;0,04948;81;20;17;44;1404;165;47;39,7779827274129;2191,55797979798;192258,296061566;0,0494317462076127;81;19;17;45;1402;167;47;39,0700955024512;2192,72580587328;192258,296061566;0,0494021835596234;81;19;17;45;1402;167;47;39,0700955024512;2192,72580587328;192258,296061566;0,0494021835596234;81;21;17;43;1416;155;45;44,8284761211934;2415,88852042563;190986,416899863;0,0495200455875701
"pop2911.txt";119919;118;28;36;54;2249;570;92;64,9115549799219;1754,6221114189;147209,267485822;0,05;118;27;34;57;2239;572;100;62,592927639289;1525,76636999364;139890,3656;0,0499255892724565;119;26;35;58;2223;586;102;59,1344899730438;1478,81490757027;138207,944252211;0,0496465958531703;118;27;34;57;2239;572;100;62,592927639289;1525,76636999364;139890,3656;0,0499255892724565;119;28;32;59;2249;557;105;64,882692572194;1395,21379985207;134497,930172551;0,0495695893011704
"pop500.txt";6837621;11;2;2;7;463;30;7;247535,917926566;192308532,823333;2540240966797,71;0,04788;11;2;2;7;473;20;7;593166,522918352;202234007,8275;2540240966797,71;0,0468172281963099;11;2;2;7;469;24;7;406051,47910766;201141618,6875;2540240966797,71;0,0456825376554447;11;2;2;7;469;24;7;406051,47910766;201141618,6875;2540240966797,71;0,0456825376554447;11;2;2;7;469;24;7;405185,697702313;192760717,908854;2177349400112,33;0,0451391399151184
"pop800.txt";1535971;42;7;13;22;664;114;22;40461,4528755081;3795765,83140966;9894435933,58058;0,04994;42;10;10;22;686;92;22;63717,3045584748;3662292,05245747;9894435933,58058;0,0492294696003764;42;11;9;22;693;85;22;73402,6939441831;3547184,45176471;9894435933,58058;0,0491531092955229;42;9;10;23;677;100;23;52454,0251871472;3410715,1651;9536675461,2741;0,0491766737871568;42;10;10;22;686;92;22;63624,4221903136;3622484,53014813;9444688845,69056;0,0490814196008981
"rev84.txt";877017;41;14;12;15;196;73;15;419710,140982924;2166909,83674235;189197136,026667;0,04935;41;17;10;14;205;65;14;496311,948506841;2127875,58485207;198500215,372449;0,0495164458964945;41;15;11;15;202;67;15;468029,895721008;2023832,3880597;189197136,026667;0,0492934343208495;41;15;11;15;202;67;15;468029,895721008;2023832,3880597;189197136,026667;0,0492934343208495;41;16;9;16;206;62;16;503359,734835417;1778028,59380351;169969166,304931;0,0494460004269437
"SugarCaneFarms.txt";20364;20;6;9;5;167;143;28;64,3762773853491;221,648295760184;1830,57525510204;0,04901;20;8;8;4;184;129;25;81,7876890359168;214,99164713659;1811,1424;0,0488172743373819;20;6;5;9;167;119;52;64,3762773853491;104,66803191865;1638,77514792899;0,0486030669259097;20;7;8;5;184;129;25;81,7876890359168;214,99164713659;1811,1424;0,0486403174641079;21;11;6;4;220;98;20;129,182439894817;195,762442732196;1691,615125;0,0483510355691426
"Swiss.txt";987317;56;21;17;18;1687;932;277;6429,30480198484;15578,1571899924;198970,266339976;0,04998;56;19;17;20;1660;951;285;6182,67574212513;15287,6032888066;198354,847645429;0,0499716086748721;57;19;17;21;1640;952;304;6009,53482302201;14150,3586390439;196880,801841672;0,0494983099587596;56;19;18;19;1640;970;286;6009,53482302201;15463,71543841;198289,712027483;0,0499395822727211;57;20;21;16;1687;977;232;6425,49371437252;19999,8411874622;203133,487090187;0,0499204646162263
"TRI900.txt";454,53090058127;10;4;2;4;313;287;300;0,00906270749718454;0,00248348692111537;0,00847275798155382;0,04963;10;3;4;3;291;354;255;0,00850349945087925;0,00395382854547147;0,0072410201975123;0,0499336632800226;10;4;3;3;290;352;258;0,00847737333382451;0,00390946576100298;0,00732735435961786;0,0490254109872719;10;4;3;3;292;353;255;0,0085297166082065;0,00392900051745408;0,0072410201975123;0,0490097853018514;10;4;2;4;295;313;292;0,00858036229668676;0,00303774723298209;0,00823181552622643;0,0494435034825621
"USbanks.txt";80548;25;9;7;9;237;81;39;1192,51779451299;5864,61667428746;29966,3681788297;0,04978;24;12;8;4;256;77;24;1715,7606048584;7985,25822229718;16224,7899305556;0,049940376595495;25;7;6;12;212;89;56;719,68838999644;3334,87110213357;34389,3185586735;0,0490905888222382;25;7;6;12;216;87;54;773,617283950617;3572,66349583829;34020,109739369;0,0490588202928768;25;15;7;3;267;68;22;2153,60168681965;7248,31617647058;13089,4767092412;0,0493158950990482
"UScities.txt";33812;32;16;11;5;790;196;52;38,6003909629867;271,698042482299;996,674556213018;0,05;32;16;11;5;790;197;51;38,6003909629867;277,058517354222;971,474048442906;0,0499628689428006;37;6;12;19;459;437;142;11,3029176812337;62,9529818975855;1533,24940487998;0,0492718191944978;33;17;11;5;795;194;49;39,7886064633519;285,036135614837;922,254893794253;0,0491808318115423;33;14;9;10;749;208;81;31,6965523116558;169,333383524585;1320,65986628807;0,049353386718194
"UScolleges.txt";1058151;37;18;8;11;493;121;63;102614,352793058;414494,239054709;2533096,11085916;0,04999;37;16;8;13;478;130;69;89537,3843595175;341201,000532544;2835174,47174963;0,0496031400191851;38;16;9;13;478;130;69;89537,3843595175;341201,000532544;2835174,47174963;0,0488768312333818;37;16;8;13;481;127;69;91722,1917782167;333695,597619195;2835174,47174963;0,0496061521856808;37;16;8;13;481;127;69;91531,5011508189;331068,073228493;2794084,98665181;0,0494272075631541
"WEIBULL1500.txt";2682,82203004894;101;33;27;41;1121;286;93;0,193751512003679;2,17180823829644;40,2073917280858;0,04982;101;32;30;39;1109;300;91;0,179029814722133;2,29787018503659;40,2684109167482;0,049691391660359;102;32;31;39;1109;300;91;0,179029814722133;2,29787018503659;40,2684109167482;0,049379534946466;101;31;31;39;1107;302;91;0,176798680980698;2,30764175384839;40,2684109167482;0,0496900901376782;101;33;27;41;1121;282;97;0,193578673901981;2,03994519095532;39,6701046541192;0,0497904672255102
