"pop";"Tx";"nVNS";"nhVNS.1";"nhVNS.2";"nhVNS.3";"nhVNS.4";"nhVNS.5";"nhVNS.6";"nhVNS.7";"NhVNS.1";"NhVNS.2";"NhVNS.3";"NhVNS.4";"NhVNS.5";"NhVNS.6";"NhVNS.7";"VhVNS.1";"VhVNS.2";"VhVNS.3";"VhVNS.4";"VhVNS.5";"VhVNS.6";"VhVNS.7";"cvVNS";"nSTRATMH";"nhSTRATMH.1";"nhSTRATMH.2";"nhSTRATMH.3";"nhSTRATMH.4";"nhSTRATMH.5";"nhSTRATMH.6";"nhSTRATMH.7";"NhSTRATMH.1";"NhSTRATMH.2";"NhSTRATMH.3";"NhSTRATMH.4";"NhSTRATMH.5";"NhSTRATMH.6";"NhSTRATMH.7";"VhSTRATMH.1";"VhSTRATMH.2";"VhSTRATMH.3";"VhSTRATMH.4";"VhSTRATMH.5";"VhSTRATMH.6";"VhSTRATMH.7";"cvSTRATMH";"nLH";"nhLH.1";"nhLH.2";"nhLH.3";"nhLH.4";"nhLH.5";"nhLH.6";"nhLH.7";"NhLH.1";"NhLH.2";"NhLH.3";"NhLH.4";"NhLH.5";"NhLH.6";"NhLH.7";"VhLH.1";"VhLH.2";"VhLH.3";"VhLH.4";"VhLH.5";"VhLH.6";"VhLH.7";"cvLH";"nKO";"nhKO.1";"nhKO.2";"nhKO.3";"nhKO.4";"nhKO.5";"nhKO.6";"nhKO.7";"NhKO.1";"NhKO.2";"NhKO.3";"NhKO.4";"NhKO.5";"NhKO.6";"NhKO.7";"VhKO.1";"VhKO.2";"VhKO.3";"VhKO.4";"VhKO.5";"VhKO.6";"VhKO.7";"cvKO";"nBarca";"nhBarca.1";"nhBarca.2";"nhBarca.3";"nhBarca.4";"nhBarca.5";"nhBarca.6";"nhBarca.7";"NhBarca.1";"NhBarca.2";"NhBarca.3";"NhBarca.4";"NhBarca.5";"NhBarca.6";"NhBarca.7";"VhBarca.1";"VhBarca.2";"VhBarca.3";"VhBarca.4";"VhBarca.5";"VhBarca.6";"VhBarca.7";"cvBarca"
"AgrMinas.txt";1197026;14;2;2;2;2;2;2;2;213;196;278;96;35;17;9;2481,74625845842;6692,7099906289;182693,173347653;424195,442708333;676293,678367347;7337071,97231834;98637777,7777778;0,09721;14;2;2;2;2;2;2;2;354;221;146;77;30;13;3;11020,6695074851;35214,8440449622;117794,84030775;452201,239669421;1506525,79555556;10121259,1715976;88975555,5555556;0,0623632001915253;19;2;2;2;2;2;4;5;171;115;163;133;152;91;19;1316,27092096714;1706,39969754253;6158,68147088712;25935,2864492057;163805,565746191;1921516,04347301;83836979,0858726;0,0854709262200913;15;2;2;2;2;2;2;3;331;212;115;83;65;23;15;9039,41026460145;21284,1399741901;46828,7195463138;111901,400783858;467594,529230769;1866704,38941399;85069358,2222222;0,0754586165272881;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Inf
"anaemia_Haemoglobin.txt";8857,7;14;2;2;2;2;2;2;2;2;12;74;435;119;72;10;0,01;0,0647222222222221;0,300840029218408;0,628443387501651;0,069939975990396;0,118024691358025;0,1916;0,02783;14;2;2;2;2;2;2;2;77;105;141;128;149;93;31;0,727694383538539;0,0883229024943311;0,0642945525878979;0,0374066162109375;0,0577856853294896;0,0916684009712104;0,314963579604578;0,00771736960157563;14;2;2;2;2;2;2;2;77;117;109;95;103;130;93;0,727694383538539;0,10619913799401;0,0375860617793115;0,0214891966759003;0,0296785747949854;0,0636621301775148;0,372265001734305;0,00828773305973605;14;2;2;2;2;2;2;2;33;55;106;129;142;160;99;0,481671258034895;0,108859504132231;0,0722107511569954;0,050932035334415;0,047661674270978;0,0781214843750001;0,380771349862259;0,00758150999063572;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Inf
"BeefFarms.txt";542350;14;2;2;2;2;2;2;2;277;9;17;54;42;21;10;13125,4910659594;222,395061728395;1107,75778546713;61843,5130315501;666757,152494331;4385618,85714286;16078466,09;0,09519;14;2;2;2;2;2;2;2;209;100;52;32;24;7;6;3687,89844554841;13066,07;73425,3561390533;250903,125;1416464,10416667;1727509,55102041;8845734,47222222;0,054385473112285;15;2;2;2;2;2;2;3;130;99;80;52;32;24;13;920,720946745562;2153,07805325987;10381,84234375;73425,3561390533;250903,125;1416464,10416667;18256426,3786982;0,0697575039414711;15;2;2;2;2;2;2;3;209;100;45;29;19;15;13;3687,89844554841;13066,07;37718,8395061728;152682,644470868;388845,612188366;1063037,28888889;18256426,3786982;0,0638087838071382;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Inf
"beta103.txt";772267,136016;14;2;2;2;2;2;2;2;669;60;15;138;35;69;14;8795,98452007345;36,1218224879461;2,83136530225155;154,816436813061;10,003485496935;85,3880454360519;120,232757142925;0,05739;14;2;2;2;2;2;2;2;72;110;139;157;200;174;148;2506,53203082987;694,126459201248;240,751449634612;214,420021858668;265,021948806751;249,755999858498;387,913204480481;0,00691483184227252;14;2;2;2;2;2;2;2;88;163;186;140;143;154;126;3002,8899983389;702,040882425863;278,164547486357;174,751381200974;151,952415894562;184,995523990819;324,43626392643;0,00746718741941139;14;2;2;2;2;2;2;2;72;110;140;156;200;175;147;2506,53203082987;694,126459201248;243,279613481028;211,844814936139;265,021948806751;252,40235026627;385,00648266622;0,00691350709294574;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Inf
"CensoCO.txt";103377;14;2;2;2;2;2;2;2;3580;2825;1676;1344;261;246;45;2,52990106426142;1,2252955125695;1,14313970642683;5,98170384690335;2,70815167129079;31,6232401348404;15920,7061728395;0,06455;14;2;2;2;2;2;2;2;2685;3044;2045;1417;640;144;2;1,83689425701098;1,23707998846528;1,23555837184139;4,07889081517952;17,5697241210937;346,805362654321;126380,25;0,0494637093979127;30;2;2;2;2;2;2;18;1858;1722;705;1444;1669;1191;1388;1,24757948927108;0,249610155384779;0;0,245671745152355;0,70857109214266;1,22919517427445;722,716227088507;0,0870502645645887;14;2;2;2;2;2;2;2;2685;3044;2352;1200;563;131;2;1,83689425701098;1,23707998846528;1,90657755449118;3,95863263888889;17,9907940524152;358,330050696346;126380,25;0,049633969111073;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Inf
"chi1.txt";939,601297267;14;2;2;2;2;2;2;2;366;181;97;144;114;80;18;0,00306796802732698;0,0105461116305803;0,00681988712388676;0,0511161984728888;0,0753944381352963;0,370125576549409;3,43572269600327;0,05887;14;2;2;2;2;2;2;2;415;212;148;111;71;35;8;0,00567092963987515;0,0196282655772551;0,0454003743040667;0,058609522903724;0,120250662186702;0,348983556589241;3,9969557615898;0,0517025199336319;14;2;2;2;2;2;2;2;343;184;151;109;111;72;30;0,00225332492340235;0,00946078641623193;0,0164133621687341;0,0335216653299905;0,067152011601011;0,183085686109756;2,94892673655848;0,0560793811804208;14;2;2;2;2;2;2;2;363;191;149;104;95;75;23;0,00294694332817566;0,0118035792071372;0,020019692818269;0,0344229699646423;0,0564823690126708;0,258273135256162;3,13921268272352;0,0534542096057753;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Inf
"chi5.txt";5051,940520634;14;2;2;2;2;2;2;2;135;148;20;88;159;322;128;0,164532488011013;0,095385951949381;0,000493087061395904;0,0269356440960915;0,105667361793848;1,35541152705734;8,37625462331188;0,07441;14;2;2;2;2;2;2;2;192;236;188;171;126;64;23;0,272701085694625;0,152362449700114;0,187739446353303;0,323129648500629;0,436663090595857;0,804628636283331;7,50009320722129;0,0306342900851059;14;2;2;2;2;2;2;2;128;138;192;181;158;129;74;0,153266462316866;0,0892763829182099;0,112491243184638;0,205982577150881;0,286660566367356;0,558864341878079;8,44992065988594;0,038628808857142;14;2;2;2;2;2;2;2;194;235;187;172;125;64;23;0,276673707988414;0,150415288536539;0,185990980387425;0,327611561029167;0,430903284800774;0,804628636283331;7,50009320722129;0,0306639390063138;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Inf
"Debtors.txt";2825374;14;2;2;2;2;2;2;2;958;1157;544;165;336;161;48;750,600207678663;8714,05287121568;11909,0742728157;6059,3283379247;264671,864999646;1601372,83700475;25896364,3224826;0,09493;14;2;2;2;2;2;2;2;1608;959;419;208;106;52;17;3917,70518520581;17237,1536565396;69865,1173552213;207520,463919194;613082,873264507;2808916,95081361;21996678,1799308;0,064638891064674;14;2;2;2;2;2;2;2;1321;765;587;324;213;124;35;1917,94057216994;5246,73519415609;13750,0103143347;63992,2355871818;265164,023452137;1952403,5673127;26085899,7338776;0,0748239198389523;14;2;2;2;2;2;2;2;1530;892;486;251;125;62;23;3184,74686658977;11197,4689969635;42529,2704702874;197216,79233663;581269,401216;2122987,89828304;24177796,2797732;0,0648663544491815;14;2;2;2;2;2;2;2;1603;806;413;290;125;90;42;3862,20644170248;9506,46820273371;18845,1548648658;159151,071385625;253347,221184512;1151755,42912071;25470831,856225;0,0743987298213292
"GAMMA2000.txt";7996,7492586906;14;2;2;2;2;2;2;2;31;247;182;455;661;83;341;0,0119599977838332;0,0569119753041703;0,0233526534498662;0,115387145835046;0,636415102751031;0,0355029062719312;4,80064656213169;0,08202;14;2;2;2;2;2;2;2;437;455;383;281;216;146;82;0,169162155529158;0,115937350745309;0,136947479997505;0,166813569777172;0,254050264990477;0,64527454051785;2,32494892008158;0,0318421028452816;14;2;2;2;2;2;2;2;320;329;366;329;292;221;143;0,106471517190746;0,0723144559134841;0,080198691130828;0,122105130426596;0,218373202168964;0,504375135494417;3,16487453474924;0,0341495929956777;14;2;2;2;2;2;2;2;429;440;393;284;219;147;88;0,164324545243457;0,109044210885579;0,140413191977375;0,167575471630958;0,247726748061478;0,603696320382541;2,42029416223636;0,0317676881926231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Inf
"hies_income.txt";58274058,847893;14;2;2;2;2;2;2;2;33;884;1338;144;701;107;359;222938,695594718;2607947,35717653;4752980,46624486;134421,335522811;9890624,5395355;1469534,77957514;354998349,568284;0,09469;14;2;2;2;2;2;2;2;873;956;712;509;306;174;36;2990994,61102551;1981207,32109039;2954969,72282048;5406413,23184281;14510205,5583894;65130832,2858732;335262319,236946;0,0396540123476798;14;2;2;2;2;2;2;2;628;803;766;564;420;290;95;2200060,78965502;1154896,43692062;1773242,54125324;3161145,41351446;7427451,16788433;34910221,8151617;419534912,273791;0,0412806214737926;14;2;2;2;2;2;2;2;640;833;775;621;414;211;72;2237728,5650032;1267215,65664258;1964919,67567588;4632174,60745741;12333968,6628327;37487967,0403214;423466935,666774;0,0395802072270611;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Inf
